category,wine,slug,sku,pack,on_hand,ready
BOTTLE,"Domaine Rapet Pernand Vergelesses Blanc 1er Cru sous Fretille 2023",rapet-domaine-rapet-pernand-vergelesses-blanc-1er-cru-sous-fretille-2023,410355,12/750,2.00,true
BOTTLE,"Rocca Di Montegrossi — Chianti Classico Gran Selezione Vigneto San Marcellino 2018",rocca-di-montegrossi-chianti-classico-gran-selezione-vigneto-san-marcellino-2018,398039,1/3000,1.00,true
BOTTLE,"Rocca Di Montegrossi — Chianti Classico Gran Selezione Vigneto San Marcellino 2018",rocca-di-montegrossi-chianti-classico-gran-selezione-vigneto-san-marcellino-2018,398038,3/1500,6.00,true
BOTTLE,"Rocca Di Montegrossi — Chianti Classico Gran Selezione Vigneto San Marcellino 2018",rocca-di-montegrossi-chianti-classico-gran-selezione-vigneto-san-marcellino-2018,398037*,12/750,56.33,true
BOTTLE,"Rocca Di Montegrossi — Toscana Rosso Geremia 2018",rocca-di-montegrossi-toscana-rosso-geremia-2018,398042,3/1500,4.00,true
BOTTLE,"Rocca Di Montegrossi — Toscana Rosso Geremia 2018",rocca-di-montegrossi-toscana-rosso-geremia-2018,398041,12/750,45.00,true
BOTTLE,"Rocca Di Montegrossi — Toscana Rosso Geremia 2018",rocca-di-montegrossi-toscana-rosso-geremia-2018,398043,1/3000,2.00,true
BOTTLE,"Rocca Di Montegrossi — Toscana Rosso Geremia IGT 2017",rocca-di-montegrossi-toscana-rosso-geremia-igt-2017,398033,3/1500,3.00,true
BOTTLE,"Rocca Di Montegrossi — Toscana Rosso Geremia IGT 2017",rocca-di-montegrossi-toscana-rosso-geremia-igt-2017,398032,12/750,8.00,true
BOTTLE,"Rocca Di Montegrossi — Toscana Rosso Geremia IGT 2017",rocca-di-montegrossi-toscana-rosso-geremia-igt-2017,398034,1/3000,1.00,true
PURE,"Domaine Serol Turbullent Petillant Rose",serol-domaine-serol-turbullent-petillant-rose,740012,12/750,12.50,true
PURE,"Domaine Serol Turbullent Petillant Rose",serol-domaine-serol-turbullent-petillant-rose,740008,12/750,0.83,true
PURE,"NV Conde de Subirats Cava Brut Rose",subirats-nv-conde-de-subirats-cava-brut-rose,620304,12/750,20.00,true
PURE,"NV Conde de Subirats Cava Brut Rose",subirats-nv-conde-de-subirats-cava-brut-rose,620302,12/750,5.00,true
BOTTLE,"Vice Versa — Wines Beckstoffer Dr Crane Cabernet Sauvignon 2023",vice-versa-wines-beckstoffer-dr-crane-cabernet-sauvignon-2023,501926*,12/750,2.00,true
BOTTLE,"Vice Versa — Wines Beckstoffer Dr Crane Cabernet Sauvignon 2023",vice-versa-wines-beckstoffer-dr-crane-cabernet-sauvignon-2023,501930*,1/1500,1.00,true
BOTTLE,"Vice Versa — Wines Beckstoffer Las Piedras Cabernet Sauvignon 2023",vice-versa-wines-beckstoffer-las-piedras-cabernet-sauvignon-2023,501925*,12/750,2.00,true
BOTTLE,"Vice Versa — Wines Beckstoffer Las Piedras Cabernet Sauvignon 2023",vice-versa-wines-beckstoffer-las-piedras-cabernet-sauvignon-2023,501929*,1/1500,1.00,true
BOTTLE,"Vice Versa — Wines Spinning Plates Cabernet Sauvignon 2023",vice-versa-wines-spinning-plates-cabernet-sauvignon-2023,501922*,1/3000,1.00,true
BOTTLE,"Vice Versa — Wines Spinning Plates Cabernet Sauvignon 2023",vice-versa-wines-spinning-plates-cabernet-sauvignon-2023,501920*,12/750,8.50,true
BOTTLE,"Vice Versa — Wines Spinning Plates Cabernet Sauvignon 2023",vice-versa-wines-spinning-plates-cabernet-sauvignon-2023,501921*,1/1500,3.00,true
BOTTLE,"Virgile Lignier-Michelot Clos de la Roche Grand Cru 2018",virgile-lignier-michelot-clos-de-la-roche-grand-cru-2018,711547,3/1.5,1.00,true
BOTTLE,"Virgile Lignier-Michelot Clos de la Roche Grand Cru 2018",virgile-lignier-michelot-clos-de-la-roche-grand-cru-2018,711545,6/750,5.83,true
PURE,"W23 Domaine Arnaud Lambert Cremant de Loire Blanc",w23-domaine-arnaud-lambert-cremant-de-loire-blanc,730141,12/750,55.00,true
PURE,"W23 Domaine Arnaud Lambert Cremant de Loire Blanc",w23-domaine-arnaud-lambert-cremant-de-loire-blanc,730145,12/750,56.00,true
PURE,"W23 Domaine Arnaud Lambert Cremant de Loire Blanc",w23-domaine-arnaud-lambert-cremant-de-loire-blanc,730140,12/750,31.92,true
